"id","fhudcode","lat","lng"
"18683","DOH000000000001197","11.3248596","122.7372818"
"18684","DOH000000000001198","6.6782999","125.2657623"
"18685","DOH000000000001200","11.5001698","122.6738892"
"18686","DOH000000000001201","11.5076904","122.6550522"
"18687","DOH000000000001202","11.3722496","122.7114410"
"18688","DOH000000000001204","14.0918999","123.0425110"
"18689","DOH000000000001205","14.0444002","123.0082016"
"18690","DOH000000000001206","16.4265308","120.4393234"
"18691","DOH000000000001207","14.1060305","123.0179596"
"18692","DOH000000000001209","15.5987701","120.2498398"
"18693","DOH000000000001210","7.4595599","125.7843323"
"18694","DOH000000000001211","15.8757401","120.3748169"
"18695","DOH000000000001212","5.9292698","125.5712509"
"18696","DOH000000000001213","7.1552000","126.1628723"
"18697","DOH000000000001214","15.3158703","121.4057007"
"18698","DOH000000000001215","15.5921898","120.2749023"
"18699","DOH000000000001216","6.8329401","125.3526306"
"18700","DOH000000000001217","11.3599997","122.6660004"
"18701","DOH000000000001218","7.3082099","126.5177078"
"18702","DOH000000000001220","13.2542601","123.6244583"
"18703","DOH000000000001221","13.4722500","123.6569672"
"18704","DOH000000000001223","16.1533699","120.3941498"
"18705","DOH000000000001226","6.4700398","126.1222687"
"18706","DOH000000000001227","7.6743999","125.7911835"
"18707","DOH000000000001228","15.9762402","120.8443527"
"18708","DOH000000000001230","7.3361702","125.6425018"
"18709","DOH000000000001231","13.3292503","123.8529434"
"18710","DOH000000000001232","16.7567101","120.3682785"
"18711","DOH000000000001233","13.2658195","123.5881119"
"18712","DOH000000000001235","11.5226603","122.8918533"
"18713","DOH000000000001237","16.3537903","120.3444824"
"18714","DOH000000000001238","7.6824298","125.7307663"
"18715","DOH000000000001239","7.6132598","125.8043365"
"18716","DOH000000000001240","6.7363100","125.2273026"
"18717","DOH000000000001241","16.0746098","120.2390137"
"18718","DOH000000000001242","15.7794399","121.5265732"
"18719","DOH000000000001243","7.1548200","126.4232635"
"18720","DOH000000000001244","7.5892100","125.7126617"
"18721","DOH000000000001245","16.6257305","120.3162766"
"18722","DOH000000000001247","16.1547909","121.9448318"
"18723","DOH000000000001248","16.0942707","120.3160477"
"18724","DOH000000000001249","17.2293606","120.5690536"
"18725","DOH000000000001250","11.4145298","122.5227966"
"18726","DOH000000000001251","16.1299992","119.5744476"
"18727","DOH000000000001254","17.1108093","120.5151062"
"18728","DOH000000000001255","15.9808702","120.3173981"
"18729","DOH000000000001256","15.9679298","120.3190079"
"18730","DOH000000000001257","13.1117697","123.5965729"
"18731","DOH000000000001258","16.5133095","120.3223572"
"18732","DOH000000000001259","6.7733998","125.2283401"
"18733","DOH000000000001260","6.9636502","126.0132065"
"18734","DOH000000000001262","16.2988892","120.4160080"
"18735","DOH000000000001263","15.7777205","120.5494690"
"18736","DOH000000000001265","16.8488503","120.5047226"
"18737","DOH000000000001268","7.0586200","125.9588013"
"18738","DOH000000000001271","16.9447098","120.4647827"
"18739","DOH000000000001272","13.1480503","123.7219162"
"18740","DOH000000000001273","16.0730991","120.2381897"
"18741","DOH000000000001274","16.1188793","120.3111725"
"18742","DOH000000000001275","13.3932695","123.7920685"
"18743","DOH000000000001276","16.0507393","120.2417984"
"18744","DOH000000000001277","6.8584299","125.3616104"
"18745","DOH000000000001278","16.7341499","120.3779984"
"18746","DOH000000000001279","7.5390000","126.5694122"
"18747","DOH000000000001280","11.4871998","122.7746582"
"18748","DOH000000000001282","13.3466702","123.7377014"
"18749","DOH000000000001283","7.4930801","125.8389130"
"18750","DOH000000000001285","7.1348500","125.7414169"
"18751","DOH000000000001286","7.4176998","126.5209274"
"18752","DOH000000000001287","16.1290398","121.8916397"
"18753","DOH000000000001288","11.3508196","122.6346817"
"18754","DOH000000000001289","16.4132309","120.3533173"
"18755","DOH000000000001291","7.2617602","126.4660110"
"18756","DOH000000000001292","13.1903296","123.6184921"
"18757","DOH000000000001293","7.1189499","126.4889221"
"18758","DOH000000000001294","6.9535699","125.7471313"
"18759","DOH000000000001295","15.7369604","121.5017014"
"18760","DOH000000000001296","7.4350200","125.6836319"
"18761","DOH000000000001297","6.5248599","125.4608917"
"18762","DOH000000000001298","13.3126698","123.6870728"
"18763","DOH000000000001300","16.4231606","120.3945923"
"18764","DOH000000000001301","17.1899700","120.4505997"
"18765","DOH000000000001302","16.0487804","120.2664795"
"18766","DOH000000000001304","7.5766802","125.8486481"
"18767","DOH000000000001305","7.3177099","126.5490494"
"18768","DOH000000000001306","14.0543499","122.9576263"
"18769","DOH000000000001307","16.3210201","120.3525925"
"18770","DOH000000000001309","16.0253792","120.4010696"
"18771","DOH000000000001310","15.7827797","121.3125687"
"18772","DOH000000000001311","13.2430201","123.4848404"
"18773","DOH000000000001312","7.5873299","125.8062592"
"18774","DOH000000000001313","6.9372802","125.7162170"
"18775","DOH000000000001314","7.3780298","126.5556717"
"18776","DOH000000000001315","15.9998598","120.3042068"
"18777","DOH000000000001316","7.6471100","125.8021469"
"18778","DOH000000000001317","7.1242700","125.7278976"
"18779","DOH000000000001318","7.6290598","125.7002106"
"18780","DOH000000000001319","6.8061299","126.1351929"
"18781","DOH000000000001322","7.7470198","125.7280884"
"18782","DOH000000000001323","16.1048298","120.0125580"
